recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [g],acceleration y [g],acceleration z [g],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645531142443,-1.3465881,-0.48065186,0.036239624,0.051269535,-0.17773438,0.9990234,-3.492767868845982,-9.79271704279161,-86.97894983585503,0.72430766,-0.08279264,0.036685616,-0.6835041
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645543324443,-1.4667511,-0.29563904,-0.02861023,0.05664063,-0.17089844,1.0107422,-3.4929848753286006,-9.799660318012066,-86.97925652982863,0.7243034,-0.08283751,0.03672611,-0.683501
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645555506443,-1.3465881,-0.48065186,-0.02861023,0.05761719,-0.1772461,1.0141602,-3.494490095350668,-9.810995579985727,-86.97969979521599,0.7242972,-0.08291764,0.036784902,-0.68349475
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645567688443,-1.0414124,-0.17547607,0.27656555,0.0703125,-0.18164062,1.0175781,-3.493408324197846,-9.81855544915671,-86.97794352886197,0.7243046,-0.082959294,0.03683581,-0.6834791
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645577635443,-0.97846985,-0.41770935,0.40245056,0.05419922,-0.1772461,1.0244141,-3.4931701564244775,-9.825220171135424,-86.9757485440031,0.7243152,-0.083000496,0.036875695,-0.68346065
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645587581443,-0.8583069,-0.541687,0.6427765,0.05859375,-0.17773438,1.0092773,-3.49317079449225,-9.825639677933635,-86.97574595757227,0.7243151,-0.08300314,0.036878206,-0.68346035
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645597527443,-0.9174347,-0.6008148,0.6427765,0.05761719,-0.17236328,1.0146484,-3.491922002962792,-9.823057977589029,-86.97553276374778,0.7243169,-0.08297952,0.03687046,-0.6834617
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645607867443,-1.1634827,-0.541687,0.3414154,0.07373047,-0.18701172,1.0205078,-3.495350847553953,-9.826876160552912,-86.97612186742238,0.72431314,-0.0830238,0.036872115,-0.6834603
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645618206443,-0.9174347,-0.84495544,0.3414154,0.05761719,-0.18896484,1.0219727,-3.4975906087614974,-9.829504324774922,-86.97650332898093,0.72431064,-0.08305357,0.036873996,-0.6834592
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645628545443,-0.7343292,-0.72288513,0.5245209,0.06347656,-0.19677734,1.0161133,-3.497848008217619,-9.835446366470146,-86.97654763401383,0.7243083,-0.08309246,0.036908038,-0.6834551
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645636214443,-0.5531311,-0.48065186,0.2193451,0.0703125,-0.17822266,1.0170898,-3.504439924484953,-9.845554353062932,-86.97767706926128,0.7243,-0.08319498,0.03692781,-0.6834503
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645643885443,-0.30708313,-0.23460388,-0.08583069,0.08300781,-0.18310547,1.0102539,-3.5094881398690676,-9.844460729947668,-86.97853779986757,0.7242969,-0.083217934,0.03688997,-0.68345284
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645651556443,-0.30708313,0.31471252,-0.2117157,0.07910156,-0.17333984,1.0166016,-3.514414033475849,-9.844743711279758,-86.97937858419644,0.7242934,-0.083248824,0.036861144,-0.6834544
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645659227443,0.24223328,0.009536743,-0.6351471,0.07910156,-0.17285156,1.0078125,-3.5191883846199286,-9.843761958964397,-86.98019466353644,0.72429043,-0.08327086,0.03682567,-0.6834568
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645668040443,0.4863739,0.37574768,-0.6351471,0.071777344,-0.1772461,1.0195312,-3.5233501317192872,-9.845381338874631,-86.98090152229348,0.724287,-0.08330564,0.036809593,-0.6834571
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645676853443,0.60653687,0.4348755,-0.69999695,0.06542969,-0.17871094,1.0234375,-3.527928510267173,-9.847227896610985,-86.98168941287805,0.7242831,-0.08334431,0.036792304,-0.68345743
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645685666443,1.1577606,0.8029938,-1.1234283,0.061035156,-0.18359375,1.027832,-3.5240425097211134,-9.84366242073109,-86.9910956754121,0.724227,-0.08329569,0.036802318,-0.6835222
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645694479443,1.2187958,0.86402893,-1.1882782,0.06640625,-0.18701172,1.0029297,-3.522927617195217,-9.835344695177474,-87.00261651960949,0.7241609,-0.083233036,0.03676784,-0.68360174
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645704646443,1.2798309,1.0471344,-1.5506744,0.07910156,-0.1821289,1.0092773,-3.5220389384022486,-9.824971005853696,-87.01598049350646,0.7240846,-0.083158225,0.036720924,-0.6836942
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645714813443,1.461029,1.2893677,-1.3065338,0.07324219,-0.1772461,1.0136719,-3.514807272951511,-9.815903928435064,-87.02787152750736,0.7240146,-0.08305426,0.03672084,-0.68378097
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645724980443,1.1577606,1.4743805,-1.7337799,0.064453125,-0.1821289,1.0141602,-3.506708154964661,-9.807237476746321,-87.04264599158464,0.7239269,-0.08294671,0.036730703,-0.6838863
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645732752443,1.2187958,1.657486,-1.5506744,0.058105465,-0.16308594,1.0112305,-3.493254655414146,-9.795303616244878,-87.05685961242806,0.723842,-0.08278684,0.036754347,-0.68399423
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645740524443,1.2798309,1.8405914,-1.8596649,0.063964844,-0.18164062,1.0039062,-3.482961190730037,-9.786175731928026,-87.07324683373442,0.72374415,-0.08266277,0.036776405,-0.6841116
05b1e954-e0de-4e6a-bec5-f040535b11d2,1747059645748296443,0.9727478,2.0828247,-1.9168854,0.061523438,-0.17333984,1.0073242,-3.467874436508399,-9.778455157956484,-87.0901224974752,0.72364134,-0.08251876,0.0368375,-0.6842345
