gaze x [px],gaze y [px],worn,azimuth [deg],elevation [deg]
945.9834,1128.4824,255.0,9.9084015,-32.871338
936.7656,1126.6489,255.0,9.233637,-32.773163
947.49304,1133.7278,255.0,10.048834,-33.203995
931.02765,1116.9319,255.0,8.770833,-32.157543
948.07227,1123.2163,255.0,10.032748,-32.52665
941.7464,1128.4998,255.0,9.602703,-32.881714
969.01855,1128.0469,255.0,11.572427,-32.786243
971.4806,1145.1477,255.0,11.856753,-33.88001
976.72473,1134.8186,255.0,12.171116,-33.203148
962.48816,1116.5759,255.0,11.045809,-32.066788
948.1638,1106.9429,255.0,9.934858,-31.481495
945.76355,1106.7697,255.0,9.784105,-31.475994
945.8594,1084.1218,255.0,9.694777,-30.027382
919.35767,1089.4233,255.0,7.8404284,-30.412014
969.7381,1090.7444,255.0,11.41943,-30.399586
983.916,1100.0532,255.0,12.466805,-30.95878
934.485,1093.4492,255.0,8.925602,-30.646791
925.73224,1100.4653,255.0,8.329337,-31.112623
945.7139,1089.4015,255.0,9.700606,-30.367607
931.3888,1108.2996,255.0,8.766626,-31.605072
970.4945,1109.5103,255.0,11.570801,-31.597736
950.49,1111.9149,255.0,10.151867,-31.798355
935.24054,1097.3999,255.0,8.997589,-30.899054
939.992,1104.6553,255.0,9.36312,-31.35182
945.85376,1133.7681,255.0,9.927368,-33.211025
968.5929,1117.9702,255.0,11.483688,-32.144295
916.42615,1123.0245,255.0,7.7496004,-32.578255
914.7026,1115.075,255.0,7.5949755,-32.06992
927.35925,1117.5024,255.0,8.515043,-32.20378
937.5036,1115.362,255.0,9.238035,-32.04409
902.99084,1113.9388,255.0,6.747868,-32.01542
927.60693,1125.94,255.0,8.568427,-32.74558
922.35364,1091.3918,255.0,8.058748,-30.537926
930.7007,1113.9987,255.0,8.740252,-31.972216
916.7306,1099.2156,255.0,7.68525,-31.046463
930.9462,1110.881,255.0,8.742816,-31.774033
919.5357,1108.5806,255.0,7.919242,-31.642803
934.91455,1065.2632,255.0,8.848137,-28.841393
